               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/player_mAP,metrics/player_mAP_50
                  59,            0.061115,            0.010986,                   0,             0.41154,             0.36082,             0.27195,             0.10758,             0.05699,            0.010899,                   0,            0.006172,            0.006172,            0.006172,             0.10758,             0.27195
                  60,            0.061897,            0.010905,                   0,             0.35897,             0.25406,             0.22385,            0.094954,            0.059719,            0.010802,                   0,            0.006106,            0.006106,            0.006106,            0.094954,             0.22385
                  61,            0.059431,            0.009756,                   0,             0.28407,             0.24742,             0.16541,            0.060442,            0.060809,            0.011036,                   0,             0.00604,             0.00604,             0.00604,            0.060442,             0.16541
                  62,            0.059316,           0.0099484,                   0,             0.29585,             0.24742,             0.22959,            0.075317,            0.060033,             0.01083,                   0,            0.005974,            0.005974,            0.005974,            0.075317,             0.22959
                  63,            0.057957,           0.0095913,                   0,             0.34407,             0.28866,             0.26721,            0.095754,            0.055056,            0.011069,                   0,            0.005908,            0.005908,            0.005908,            0.095754,             0.26721
                  64,            0.057556,            0.010979,                   0,             0.31714,             0.33037,             0.25218,            0.099368,            0.055829,            0.011687,                   0,            0.005842,            0.005842,            0.005842,            0.099368,             0.25218
                  65,            0.060826,            0.010353,                   0,             0.38454,             0.38144,             0.27611,             0.10407,            0.056243,             0.01054,                   0,            0.005776,            0.005776,            0.005776,             0.10407,             0.27611
                  66,            0.059124,            0.010853,                   0,             0.33974,              0.3299,             0.25949,             0.10129,            0.056251,            0.011388,                   0,             0.00571,             0.00571,             0.00571,             0.10129,             0.25949
                  67,              0.0569,           0.0095727,                   0,              0.2562,             0.29897,             0.21984,            0.083415,            0.057464,            0.010776,                   0,            0.005644,            0.005644,            0.005644,            0.083415,             0.21984
                  68,            0.057385,            0.010847,                   0,             0.25294,             0.23735,             0.16958,            0.060937,            0.062696,            0.010444,                   0,            0.005578,            0.005578,            0.005578,            0.060937,             0.16958
                  69,            0.060189,            0.010192,                   0,             0.42506,             0.37113,             0.32935,             0.13021,            0.054034,            0.010134,                   0,            0.005512,            0.005512,            0.005512,             0.13021,             0.32935
                  70,             0.06142,            0.010868,                   0,             0.38705,             0.38144,             0.32187,             0.12737,            0.055083,            0.010399,                   0,            0.005446,            0.005446,            0.005446,             0.12737,             0.32187
                  71,            0.058081,            0.010714,                   0,             0.47004,              0.3299,             0.28286,             0.10596,            0.054538,            0.010436,                   0,             0.00538,             0.00538,             0.00538,             0.10596,             0.28286
                  72,            0.057482,            0.010112,                   0,             0.48749,             0.36285,             0.35908,             0.13317,             0.05403,            0.009894,                   0,            0.005314,            0.005314,            0.005314,             0.13317,             0.35908
                  73,            0.057565,            0.010743,                   0,             0.34769,             0.40206,             0.28062,             0.10242,            0.055035,            0.010293,                   0,            0.005248,            0.005248,            0.005248,             0.10242,             0.28062
                  74,            0.055864,            0.010021,                   0,             0.31661,             0.39175,             0.25792,             0.09575,            0.052591,            0.010661,                   0,            0.005182,            0.005182,            0.005182,             0.09575,             0.25792
                  75,            0.053418,            0.010182,                   0,             0.38194,             0.41237,             0.33086,             0.13552,            0.053387,             0.01006,                   0,            0.005116,            0.005116,            0.005116,             0.13552,             0.33086
                  76,            0.057438,           0.0095811,                   0,             0.42779,             0.40206,             0.30547,             0.11971,            0.054702,            0.010006,                   0,             0.00505,             0.00505,             0.00505,             0.11971,             0.30547
                  77,            0.053117,           0.0089783,                   0,             0.50807,             0.39175,              0.3337,             0.10531,            0.058783,           0.0097233,                   0,            0.004984,            0.004984,            0.004984,             0.10531,              0.3337
                  78,            0.055972,           0.0097651,                   0,             0.35076,             0.39175,               0.265,            0.093492,            0.059139,            0.010096,                   0,            0.004918,            0.004918,            0.004918,            0.093492,               0.265
                  79,            0.054958,           0.0096987,                   0,             0.41374,             0.39175,             0.31619,             0.12299,            0.056763,           0.0099243,                   0,            0.004852,            0.004852,            0.004852,             0.12299,             0.31619
                  80,            0.056388,            0.011429,                   0,              0.4422,              0.4433,             0.36696,             0.13899,            0.052463,            0.010022,                   0,            0.004786,            0.004786,            0.004786,             0.13899,             0.36696
                  81,            0.056085,           0.0096874,                   0,             0.56562,             0.38144,             0.41756,             0.17175,            0.051366,           0.0098917,                   0,             0.00472,             0.00472,             0.00472,             0.17175,             0.41756
                  82,            0.056654,             0.01064,                   0,             0.53499,             0.37957,             0.37959,             0.15147,            0.051381,           0.0098015,                   0,            0.004654,            0.004654,            0.004654,             0.15147,             0.37959
